(0) 14:54:13 [impl::SolverInterfaceImpl]:91 in configure: [0mThis is preCICE version 1.4.0
(0) 14:54:13 [impl::SolverInterfaceImpl]:92 in configure: [0mConfiguring preCICE with configuration: "precice-config.xml"
(0) 14:54:13 [impl::SolverInterfaceImpl]:134 in configure: [0mRun in coupling mode
(0) 14:54:13 [impl::SolverInterfaceImpl]:198 in initialize: [0mSetting up master communication to coupling partner/s 
(0) 14:54:34 [impl::SolverInterfaceImpl]:214 in initialize: [0mCoupling partner/s are connected 
(0) 14:54:34 [partition::ProvidedPartition]:40 in communicate: [0mGather mesh Fluid-Interface
(0) 14:54:34 [partition::ProvidedPartition]:66 in communicate: [0mSend global mesh Fluid-Interface
(0) 14:54:34 [partition::ReceivedPartition]:35 in communicate: [0mReceive global mesh Solid-Interface-Nodes
(0) 14:54:35 [partition::ProvidedPartition]:80 in compute: [0mCompute partition for mesh Fluid-Interface
(0) 14:54:35 [impl::SolverInterfaceImpl]:222 in initialize: [0mSetting up slaves communication to coupling partner/s 
(0) 14:54:35 [impl::SolverInterfaceImpl]:237 in initialize: [0mSlaves are connected
(0) 14:54:35 [impl::SolverInterfaceImpl]:263 in initialize: [0mit 1 of 1 | dt# 1 | t 0 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete no | write-initial-data | 
(0) 14:54:35 [impl::SolverInterfaceImpl]:1635 in mapReadData: [0mCompute read mapping from mesh "Solid-Interface-Nodes" to mesh "Fluid-Interface".
(0) 14:54:36 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 2 | t 1 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:36 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 3 | t 2 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:37 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 4 | t 3 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:37 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 5 | t 4 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:38 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 6 | t 5 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:38 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 7 | t 6 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:39 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 8 | t 7 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:39 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 9 | t 8 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:40 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 10 | t 9 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:41 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 11 | t 10 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:41 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 12 | t 11 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:42 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 13 | t 12 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:42 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 14 | t 13 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:43 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 15 | t 14 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:43 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 16 | t 15 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:44 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 17 | t 16 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:44 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 18 | t 17 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:45 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 19 | t 18 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:45 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 20 | t 19 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:46 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 21 | t 20 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:47 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 22 | t 21 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:47 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 23 | t 22 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:48 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 24 | t 23 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:48 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 25 | t 24 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:49 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 26 | t 25 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:50 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 27 | t 26 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:50 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 28 | t 27 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:51 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 29 | t 28 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:51 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 30 | t 29 of 30 | dt 1 | max dt 1 | ongoing yes | dt complete yes | 
(0) 14:54:52 [impl::SolverInterfaceImpl]:385 in advance: [0mit 1 of 1 | dt# 31 | t 30 of 30 | dt 1 | max dt 1 | ongoing no | dt complete yes | 
